SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
asthmatic	 Aspirin	 Aspirin-intolerant asthma (AIA) is a rare condition that is characterized by the development of bronchoconstriction in asthmatic patients after ingestion of non-steroidal anti-inflammatory drugs including aspirin.	 Aspirin intolerant asthma (AIA) is a rare condition that is characterized by the development of bronchoconstriction in asthmatic	 contraindicated_with_disease	no
obesity	 triglyceride	 Adults of South Asian origin living in the United Kingdom have high risks of type 2 diabetes and central obesity; raised circulating insulin, triglyceride, and C-reactive protein concentrations; and low HDL-cholesterol when compared with white Europeans.	obesity ; raised circulating insulin,  triglyceride	 	no_rel
bladder tumors	 cisplatin	 In his past medical history, the patient had undergone three transurethral resections of bladder tumors due to urothelial cell carcinoma since 2000 and total gastrectomy, splenectomy, and adjuvant fluorouracil/cisplatin chemotherapy for 7 months due to advanced gastric carcinoma in 2005.	bladder tumors  due to urothelial cell carcinoma since 2000 and total gastrectomy, splenectomy, and adjuvant fluorouracil/ cisplatin	 may_treat	yes
PTG	 posttraumatic stress disorder	 Although some previous studies have suggested that posttraumatic growth (PTG) is comprised of several factors with different properties, few have examined both the association between PTG and posttraumatic stress disorder (PTSD) and between PTG and resilience, focusing on each of the factors of PTG.	PTG ) is comprised of several factors with different properties, few have examined both the association between PTG and  posttraumatic stress disorder	 	no_rel
enzyme	 AR	 Here we show that the AR interacts with and is directly methylated by the histone methyltransferase enzyme SET9.	 AR interacts with and is directly methylated by the histone methyltransferase enzyme	 	no_rel
osteoporosis	 Antibodies	 As of the beginning of 2013, our “Antibodies to watch” list includes 28 single mAbs and one mAb mixture that are undergoing evaluation in Phase 3 studies for inflammatory or immunological disorders, cancers, high cholesterol, osteoporosis, Alzheimer disease and infectious disease.	 Antibodies s to watch” list includes 28 single mAbs and one mAb mixture that are undergoing evaluation in Phase 3 studies for inflammatory or immunological disorders, cancers, high cholesterosteoporosis	 	no_rel
alcohol	 obesity	 3-octadecylglycerol (batyl alcohol) has been described as an inflammatory agent, whereas Conjugated Linoleic Acid (CLA) is considered effective against obesity.	alcohol ) has been described as an inflammatory agent, whereas Conjugated Linoleic Acid (CLA) is considered effective against  obesity	 	no_rel
dengue hemorrhagic fever	 dengue viruses	 The four dengue viruses, the agents of dengue fever and dengue hemorrhagic fever in humans, are transmitted predominantly by the mosquito Aedes aegypti .	 dengue viruses  the agents of dengue fever and dengue hemorrhagic fever	 causative_agent_of	no
antianginal	 bradycardia	 Ranolazine is a proven antianginal medication in patients with symptomatic coronary heart disease, and should be considered as an initial antianginal agent for those with hypotension or bradycardia.	antianginal  medication in patients with symptomatic coronary heart disease, and should be considered as an initial antianginal agent for those with hypotension or  bradycardia	 	no_rel
cardiopathy	 DM	 The study included one hundred eighty patients divided in the following groups diabetic without ischemic cardiopathy-related disorders (DM), diabetic with clinical or off-clinical (electrocardiogram, cardiac ultrasound) ischemic cardiopathy-related disorders (DM + IC), and nondiabetic with ischemic cardiopathy-related disorders (IC).	cardiopathy related disorders (DM), diabetic with clinical or off-clinical (electrocardiogram, cardiac ultrasound) ischemic cardiopathy-related disorders (D DM	 	no_rel
AKI	 furosemide	 There remains controversy on whether furosemide can impact clinical outcomes in critically ill patients with AKI; however, a survey of intensivists and nephrologists showed equipoise for high-quality evidence on this important issue.	 furosemide can impact clinical outcomes in critically ill patients with AKI	 may_treat	yes
pain	 lidocaine	 The adjuvant drugs (ketamine or NTG) when added to lidocaine in IVRA were effective in improving the overall quality of anesthesia, reducing tourniquet pain, increasing tourniquet tolerance and improving the postoperative analgesia in comparison to the control group.	 lidocaine in IVRA were effective in improving the overall quality of anesthesia, reducing tourniquet pain	 may_treat	yes
type 2 diabetes	 insulin	 To determine whether an electronic order template for basal-bolus insulin ordering improves mean blood glucose in hospitalized general medical patients with hyperglycemia and type 2 diabetes.	 insulin ordering improves mean blood glucose in hospitalized general medical patients with hyperglycemia and type 2 diabetes	 may_treat	yes
HBV	 adefovir	 Autodock was employed to dock the HBV polymerase/rt and adefovir.	HBV  polymerase/rt and  adefovir	 may_prevent	yes
smallpox	 vaccines	 These findings are relevant for the design of new vaccines and therapeutics to smallpox and emergent virulent orthopoxviruses because the type I interferon-binding protein is a major virulence factor in animal models, vaccination with this protein induces protective immunity, and its neutralization prevents disease progression.	 vaccines and therapeutics to smallpox	 	no_rel
respiratory acidosis	 CO2	 Although the minimization of the applied tidal volume (VT) during high-frequency oscillatory ventilation (HFOV) reduces the risk of alveolar shear stress, it can also result in insufficient CO2-elimination with severe respiratory acidosis.	 CO2 elimination with severe respiratory acidosis	 contraindicated_with_disease	no
asthmatics	 ASA	 Although it is clear that some patients with acetylsalicylic acid (ASA)-sensitive asthma have their clinical onset of disease in childhood and bronchoconstriction after ASA challenge is seen in 0 to 22% of asthmatic children so challenged, ibuprofen at antipyretic doses may cause acute respiratory problems only in a very small number of mild to moderate asthmatics.	 ASA challenge is seen in 0 to 22% of asthmatic children so challenged, ibuprofen at antipyretic doses may cause acute respiratory problems only in a very small number of mild to moderate asthmatics	 contraindicated_with_disease	no
type 2 diabetes mellitus	 insulin	 Cross-sectional epidemiological studies have reported a direct correlation between plasma testosterone and insulin sensitivity, and low testosterone levels are associated with an increased risk of type 2 diabetes mellitus, dramatically illustrated by androgen deprivation in men with prostate carcinoma.	 insulin sensitivity, and low testosterone levels are associated with an increased risk of type 2 diabetes mellitus	 may_treat	yes
type 2 diabetes mellitus	 rosiglitazone	 We evaluated the efficacy of glimepiride, metformin, and rosiglitazone as initial treatment for drug-naïve type 2 diabetes mellitus patients in a 48-week, double-blind, randomized controlled study that included 349 Korean patients.	 rosiglitazone as initial treatment for drug-naïvetype 2 diabetes mellitus	 may_treat	yes
glucocorticoid	 hypercortisolism	 We propose thus that GR haploinsufficiency compromises glucocorticoid sensitivity and may represent a novel genetic cause of subclinical hypercortisolism, incidentally revealed bilateral adrenal hyperplasia and mineralocorticoid-independent hypertension.	glucocorticoid  sensitivity and may represent a novel genetic cause of subclinical  hypercortisolism	 	no_rel
Schistosomiasis	 praziquantel	 The impact of praziquantel (PZQ) treatment on such potential inter-specific schistosome interactions and resulting morbidity using uniquely detailed longitudinal data (pre- and one year post-PZQ treatment) arising from the National Schistosomiasis Control Program in three areas of Mali Ségou, Koulikoro and Bamako, is also evaluated.	 praziquantel (PZQ) treatment on such potential inter-specific schistosome interactions and resulting morbidity using uniquely detailed longitudinal data (pre- and one year post-PZQ treatment) arising from the National Schistosomiasis	 may_treat	yes
Guillain-Barré syndrome	 intravenous immunoglobulin	 Cerebrospinal fluid revealed albuminocytologic dissociation (increased protein but normal white blood cell count) suggestive of Guillain-Barré syndrome and hence an intravenous immunoglobulin G infusion was started.	Guillain-Barré syndrome  and hence an intravenous immunoglobulin	 may_treat	yes
listeriosis	 Listeria monocytogenes	 We thus performed full genome analyses on four Listeria monocytogenes , including human and food isolates from both a 1988 case of sporadic listeriosis and a 2000 listeriosis outbreak, which had been linked to contaminated food from a single processing facility.	 Listeria monocytogenes , including human and food isolates from both a 1988 case of sporadic listeriosis and a 2000 listeriosis	 causative_agent_of	no
amnesia	 scopolamine	 The present study was undertaken to investigate the effect of Prunus amygdalus (PA) nuts on cognitive functions, total cholesterol levels and cholinesterase (ChE) activity in scopolamine-induced amnesia in rats.	 scopolamine induced amnesia	 induces	no
statin	 familial hypercholesterolaemia	 Objective To determine the efficacy of statin treatment on risk of coronary heart disease in patients with familial hypercholesterolaemia.	statin  treatment on risk of coronary heart disease in patients with  familial hypercholesterolaemia	 	no_rel
O2	 hypoxic	 In order to establish the effect of low O2 on cellular properties, we examined BSMC cultured under hypoxic (3% O2) conditions.	O2  on cellular properties, we examined BSMC cultured under  hypoxic	 	no_rel
dyspnea	 morphine	 Patients in group B (dyspnea) required a lower dose of morphine for alleviation compared with those in groups A (uncontrolled pain) and C (both dyspnea and pain).	dyspnea ) required a lower dose of  morphine	 may_treat	yes
tuberculous	 rifampin	 He has been on anti-tuberculous drugs (isoniazid, rifampin) for 1 year for his tuberculous encephalitis.	tuberculous  drugs (isoniazid,  rifampin	 may_prevent	yes
iron deficiency anemia	 Iron	 Iron depletion, lack of iron stores, iron deficiency, iron deficiency anemia and anemia were evaluated among them.	 Iron depletion, lack of iron stores, iron deficiency, iron deficiency anemia	 may_treat	yes
asthma	 budesonide	 We evaluated the effects of a combined therapy of budesonide 200 µg twice daily and formoterol 6 µg twice daily compared with budesonide 200 µg twice daily alone on asthma control questionnaire (ACQ), asthma quality of life questionnaire (AQLQ- Juniper), pulmonary function and airway inflammation, in a cross-over randomized double-blind study with treatment periods of two months separated by a one-month wash-out period.	 budesonide 200 µg twice daily and formoterol 6 µg twice daily compared with budesonide 200 µg twice daily alone on asthma control questionnaire (ACQasthma	 may_prevent	yes
hyperglycemia	 glucose	 Postprandial hyperglycemia, especially 30-minute glucose levels showed significant correlation with baPWV in subjects with fasting hyperglycemia.	hyperglycemia , especially 30-minute  glucose	 contraindicated_with_disease	no
cancer	 formaldehyde	 Endogenous formaldehyde concentration increased significantly in the cultured breast cancer cell lines in vitro , in the bone marrow of breast MRMT-1 bone cancer pain model in rats and in tissues from breast cancer and lung cancer patients in vivo .	 formaldehyde concentration increased significantly in the cultured breast cancer cell lines in vitro , in the bone marrow of breast MRMT-1 bone cancer pain model in rats and in tissues from breast cancer and lung cancer	 	no_rel
vitamin K	 Gla	 By mutagenesis of the vitamin K-dependent Gla domain of APC, we have recently created an APC variant having enhanced anticoagulant activity due to increased affinity for negatively charged phospholipid membranes.	vitamin K -dependent  Gla	 	no_rel
salivary hypersecretion	 risperidone	 Placebo-adjusted AEs more common with paliperidone ER were insomnia, sinus tachycardia and tachycardia; more common with risperidone were somnolence, restlessness, nausea, anxiety, salivary hypersecretion, akathisia, dizziness and nasal congestion.	 risperidone were somnolence, restlessness, nausea, anxiety, salivary hypersecretion	 	no_rel
headache	 bleaching	 In one RCT (Shankland 2002, Jadad score 1), patients with tension-type headache or migraine responded more favorably to the NTI-tss splint than to a bleaching tray.	headache or migraine responded more favorably to the NTI-tss splint than to a b bleaching	 	no_rel
Cr	 amnesia	 The administration of Cr to children and adolescents with TBI improved results in several parameters, including duration of post traumatic amnesia (PTA), duration of intubation, intensive care unit stay.	Cr  to children and adolescents with TBI improved results in several parameters, including duration of post traumatic  amnesia	 	no_rel
antituberculosis	 AIDS	 Within 24 weeks of initiating antituberculosis treatment, 40% (117/292) of patients experienced clinical deterioration due to co-morbid illness (n = 70), tuberculosis related illness (n = 47), non AIDS-defining HIV-1 related infection (n = 25) and AIDS-defining illness (n = 21).	antituberculosis  treatment, 40% (117/292) of patients experienced clinical deterioration due to co-morbid illness (n = 70), tuberculosis related illness (n = 47), non AIDS-defining HIV-1 related infection (n = 25) and  AIDS	 	no_rel
neuropathic pain	 Adjuvant	 Moreover, oral HC-030031 (100 mg/kg) significantly reversed mechanical hypersensitivity in the more chronic models of Complete Freunds Adjuvant (CFA)-induced inflammatory pain and the spinal nerve ligation model of neuropathic pain.	 Adjuvant (CFA)-induced inflammatory pain and the spinal nerve ligation model of neuropathic pain	 	no_rel
Goitre	 thyroglobulin	 Goitre rate, serum thyroid-stimulating hormone (TSH), thyroxine (T4), thyroid peroxidase antibody (TPOAb), thyroglobulin antibody (TgAb), and urinary iodine concentration (UIC) were measured and compared between the goitrous (n=478) and the non-goitrous (n=2,045) participants.	Goitre  rate, serum thyroid-stimulating hormone (TSH), thyroxine (T4), thyroid peroxidase antibody (TPOAb),  thyroglobulin	 may_treat	yes
5-FU	 cancers	 The activity of dihydropyrimidine dehydrogenase (DPD), the key enzyme of pyrimidine catabolism, is thought to be an important determinant for the occurrence of severe toxic reactions to 5-fluorouracil (5-FU), which is one of the most commonly prescribed chemotherapeutic agents for the treatment of solid cancers.	5-FU ), which is one of the most commonly prescribed chemotherapeutic agents for the treatment of solid  cancers	 	no_rel
SSRI	 type 1 diabetes	 CONCLUSIONS— This study has demonstrated that 6-week administration of the SSRI fluoxetine can amplify ANS and metabolic counterregulatory mechanisms during moderate hypoglycemia in patients with type 1 diabetes.	SSRI RI fluoxetine can amplify ANS and metabolic counterregulatory mechanisms during moderate hypoglycemia in patients wit type 1 diabetes	 	no_rel
AIDS	 HIV	 We used a criteria-based approach to determine which HIV/AIDS stakeholders have the most significant impact on HIV/AIDS research, programs, funding and policy and stratified purposive sampling to conduct interviews with a subset of these individuals.	 HIV AIDS	 causative_agent_of	no
cancer	 sugar	 Finally, we also go into the insights about the future design of drugs targeted against sugar utilization in cancer cells.	 sugar utilization in cancer	 	no_rel
MRSA	 CA	 Cotton fabric treated with CA and SHP showed significant antibacterial activity against MRSA (6.38 log10 treated by conventional drying and 6.46 log10 treated by microwave drying before washing, and 6.90 log10 and 7.86 log10, respectively, after 1 cycle of home domestic laundering washing [HDLW]).	 CA and SHP showed significant antibacterial activity against MRSA	 	no_rel
pain	 formaldehyde	 TRPV1 antagonists and formaldehyde scavengers attenuated bone cancer pain responses.	 formaldehyde scavengers attenuated bone cancer pain	 	no_rel
AIDS	 HIV	 Each China CARES site was required to carry out surveillance and surveys to understand the local HIV/AIDS epidemic, to deliver primary interventions to reduce new HIV infections among and from high-risk groups, to prevent mother-to-child transmission, to treat AIDS patients with antiretroviral medicines and to provide support services to families affected by HIV/AIDS.	 HIV AIDS	 causative_agent_of	no
nitric oxide	 tumor	 We now show that treatment of tumor-bearing mice with IL-2/α-CD40, but not IL-2 or α-CD40, induced significant nitric oxide synthase (NOS) 2 expression in tumor-associated macrophages.	nitric oxide de synthase (NOS) 2 expression i tumor	 	no_rel
mono	 enzymes	 Deubiquitylating enzymes (DUBs) can hydrolyze a peptide, amide, ester or thiolester bond at the C-terminus of UBIQ (ubiquitin), including the post-translationally formed branched peptide bonds in mono- or multi-ubiquitylated conjugates.	 enzymes (DUBs) can hydrolyze a peptide, amide, ester or thiolester bond at the C-terminus of UBIQ (ubiquitin), including the post-translationally formed branched peptide bonds in mono	 	no_rel
inflammation	 CD	 Our results suggest that colonic inflammation in Il10 -/- mice inoculated with solutions containing Enterococcus strains is associated with gene expression changes similar to those of human IBD, specifically CD, and that with the EF·CIF inoculum in particular this is an appropriate model to investigate food-gene interactions relevant to human CD.	inflammation  in Il10 -/- mice inoculated with solutions containing Enterococcus strains is associated with gene expression changes similar to those of human IBD, specifically CD, and that with the EF·CIF inoculum in particular this is an appropriate model to investigate food-gene interactions relevant to human CD	 	no_rel
hypertension	 Ketamine	 Ketamine/xylazine cocktail anesthesia caused a transient hypertension in the cats; EA inhibited this anesthetic-induced hypertension and shortened the post-anesthesia recovery time.	 Ketamine xylazine cocktail anesthesia caused a transient hypertension in the cats; EA inhibited this anesthetic-induced hypertension	 contraindicated_with_disease	no
APL	 ATRA	 Cellular cytotoxicity, proliferation, apoptosis and differentiation were comprehensively investigated in realgar-treated cell lines derived from PML-RARα+ APL patient, including the all-trans retinoic acid (ATRA)-sensitive NB4 and ATRA-resistant MR2 cell lines.	APL L patient, including the all-trans retinoic acid  ATRA	 may_treat	yes
lipids	 cavity	 Our results provide an enhanced view into the structure and function of the P2 protein from human myelin, which is able to bind both monomeric lipids inside its cavity and membrane surfaces.	lipids  inside its  cavity	 	no_rel
tuberculosis	 isoniazid	 The recombinant mycobacteria grew in length and were more sensitive to two anti-tuberculosis drugs, isoniazid and streptomycin.	tuberculosis  drugs,  isoniazid	 may_prevent	yes
schizophrenia	 olanzapine	 PubMed searches were conducted for olanzapine combined with pharmacology, schizophrenia, or bipolar disorder.	 olanzapine combined with pharmacology, schizophrenia	 may_treat	yes
septicemic plagues	 Y. pestis	 We also found that subcutaneous infection of animals with Y. pestis results in bubonic plague, followed by pneumonic and septicemic plagues.	 Y. pestis results in bubonic plague, followed by pneumonic and septicemic plagues	 causative_agent_of	no
gastroesophageal reflux disease	 esomeprazole	 To review the literature on the treatment of gastroesophageal reflux disease (GERD) with emphasis on proton pump inhibitors (PPIs), particularly on delayed-release esomeprazole, and to identify properties and adverse effects of PPIs observed in the treatment of GERD in children and adolescents.	gastroesophageal reflux disease  (GERD) with emphasis on proton pump inhibitors (PPIs), particularly on delayed-release  esomeprazole	 may_treat	yes
bradycardia	 Ranolazine	 Ranolazine is a proven antianginal medication in patients with symptomatic coronary heart disease, and should be considered as an initial antianginal agent for those with hypotension or bradycardia.	 Ranolazine is a proven antianginal medication in patients with symptomatic coronary heart disease, and should be considered as an initial antianginal agent for those with hypotension or bradycardia	 	no_rel
gabapentin	 neuropathic pain	 We examined the possible anti-inflammatory mechanisms of gabapentin in the attenuation of neuropathic pain and the interaction between the anti-allodynic effects of gabapentin and interleukin-10 (IL-10) expression in a rat model of neuropathic pain.	 neuropathic pain and the interaction between the anti-allodynic effects of gabapentin	 	no_rel
Staph	 Staphylococcus	 Our results showed that PCR protocol used in this study which depends on genotypic features was relatively accurate, rapid, sensitive and superior in the identification of at least 7 species of Staphylococcus than API Staph which depends on phenotypic features.	 Staphylococcus than API Staph	 causative_agent_of	no
GBS	 IVIG	 A standard dose of IVIG is not sufficiently effective in many GBS patients.	 IVIG is not sufficiently effective in many GBS	 may_treat	yes
vitamin B12 deficiency	 vitamin B12	 Pernicious anaemia is undeniably associated with vitamin B12 deficiency, but the association between subnormal vitamin B12 concentrations and anaemia in older people is unclear.	vitamin B12 deficiency , but the association between subnormal  vitamin B12	 may_prevent	yes
serum hepatitis	 HBsAg	 HBV viral loads, genotypes, precore and basal core promotor mutations, serum hepatitis B surface antigen (HBsAg) and interferon-gamma inducible protein 10 (IP-10) levels as well as four SNPs of IL28B were determined.	serum hepatitis  B surface antigen ( HBsAg	 may_prevent	yes
type 2 diabetes	 metformin	 INCB13739 added to ongoing metformin therapy was efficacious and well tolerated in patients with type 2 diabetes who had inadequate glycemic control with metformin alone.	 metformin therapy was efficacious and well tolerated in patients with type 2 diabetes	 may_treat	yes
ranibizumab	 age-related macular degeneration	 To report the occurrence of foveal atrophy and macular hole formation following intravitreal ranibizumab with or without photodynamic therapy for choroidal neovascularization caused by age-related macular degeneration.	ranibizumab  with or without photodynamic therapy for choroidal neovascularization caused by  age-related macular degeneration	 	no_rel
virus	 viruses	 Here, we used a virus lacking B5 and viruses with mutations in the B5 membrane-proximal stalk region and looked at the effect of those modifications on A34.	virus  lacking B5 and  viruses	 causative_agent_of	no
speed	 DR	 Baseline predictors of level of visual acuity (age, age-related macular degeneration (AMD), cataract, living alone, low self-rated health, and sedentary life-style) and speed of continued visual loss (age, AMD, diabetic retinopathy (DR), cataract, living alone, and high fasting triglycerides) were identified.	speed  of continued visual loss (age, AMD, diabetic retinopathy ( DR	 	no_rel
AIDS	 HIV	 Adequate knowledge of HIV/AIDS was negatively associated with being married, poor, having low education, and residing in rural areas.	 HIV AIDS	 causative_agent_of	no
type 2 diabetes	 insulin	 CONCLUSIONS —Our conclusions are that 1 ) the need for insulin treatment in LADA is linked to the degree of autoimmunity and β-cell failure, 2 ) subjects with LADA and type 2 diabetes without the need for insulin treatment are phenotypically similar, and 3 ) insulin treatment in type 2 diabetic patients is associated with both insulin resistance and β-cell insufficiency.	 insulin n treatment in LADA is linked to the degree of autoimmunity and β-cell failure, 2 ) subjects with LADA atype 2 diabetes	 may_treat	yes
pain	 fentanyl	 Some steps have been taken in earlier studies which used nasal formulation of fentanyl as it was found to achieve adequate and quick pain relief.	 fentanyl as it was found to achieve adequate and quick pain	 may_treat	yes
virus	 viruses	 Viruses other than the hepatitis viruses such as parvovirus B19, Cytomegalovirus, Epstein bar virus, Transfusion Transmitted virus (TTV) and non-A-E hepatitis virus (unknown viruses) has also been documented to develop the syndrome.	virus  (TTV) and non-A-E hepatitis virus (unknown  viruses	 causative_agent_of	no
hepatitis B	 hepatitis B surface antigen	 Blood samples were tested for hepatitis B surface antigen (HBsAg), hepatitis B e antigen (HBeAg), hepatitis C virus (HCV) antibody, HCV RNA, and the aflatoxin-associated 249ser TP53 mutation.	 hepatitis B surface antigen (HBsAg), hepatitis B	 may_prevent	yes
seizures	 magnesium sulfate	 Obstetric management of severe pre-eclampsia focuses on medical management of blood pressure and prevention of seizures using magnesium sulfate, but the ultimate cure remains delivery of the fetus and placenta.	seizures  using  magnesium sulfate	 may_treat	yes
type 2 diabetes	 metformin	 A decreased risk of breast cancer was observed in female patients with type 2 diabetes using metformin on a long-term basis.	type 2 diabetes  using  metformin	 may_treat	yes
Hydrogen sulfide	 hypertension	 Hydrogen sulfide (H2S) has been shown to have cytoprotective effects in models of hypertension, ischemia/reperfusion and Alzheimer's disease.	Hydrogen sulfide  (H2S) has been shown to have cytoprotective effects in models of  hypertension	 	no_rel
renal cell carcinoma	 interferon	 Bevacizumab in combination with interferon alfa is now approved for treatment-naïve advanced renal cell carcinoma (RCC) in both the US and Europe.	 interferon alfa is now approved for treatment-naïve advancedrenal cell carcinoma	 may_treat	yes
Trachoma	 Chlamydia trachomatis	 Trachoma, caused by Chlamydia trachomatis ( Ct ), is the leading infectious blinding disease worldwide.	Trachoma , caused by  Chlamydia trachomatis	 causative_agent_of	no
insulin	 obese	 GSTA4 expression is selectively downregulated in adipose tissue of obese insulin-resistant C57BL/6J mice and in human obesity-linked insulin resistance.	 obese insulin	 	no_rel
adiposity	 glucose	 Markers of glucose control, including oral glucose tolerance test, glycated hemoglobin and urinary glucose, were measured as well as adiposity and the accumulation of liver lipids.	 glucose  were measured as well as adiposity	 	no_rel
Olive oil	 osteoporosis	 Olive oil effectively mitigated ovariectomy-induced osteoporosis in rats, and is a promising candidate for the treatment of postmenopausal osteoporosis.	Olive oil  effectively mitigated ovariectomy-induced  osteoporosis	 	no_rel
type 2 diabetes	 glucose	 Glucose abnormalities were documented in 71% of patients type 2 diabetes in 29%, impaired fasting glucose (IFG) in 58%, and impaired glucose tolerance (IGT) in 37.5%.	type 2 diabetes in 29%, impaired fasting g glucose	 	no_rel
leptospirosis	 genus Leptospira	 The agents of leptospirosis comprise several members of the genus Leptospira , which also includes non-pathogenic, saprophytic species.	leptospirosis  comprise several members of the  genus Leptospira	 causative_agent_of	no
metastasis	 antibody	 In stage IV colorectal cancer, data have supported the routine use of prophylactic skin treatment in patients receiving antibody against epidermal growth factor receptor, and the use of upfront chemotherapy as initial management in patients with synchronous metastasis without obstruction or bleeding from the primary site.	 antibody against epidermal growth factor receptor, and the use of upfront chemotherapy as initial management in patients with synchronous metastasis	 	no_rel
hepatitis B	 adefovir	 Several options for the treatment of hepatitis B have been licensed in the last years interferon, pegylated interferon, lamivudine, adefovir, entecavir, and telbivudine.	hepatitis B  have been licensed in the last years interferon, pegylated interferon, lamivudine, a adefovir	 may_treat	yes
vein thrombosis	 fondaparinux	 The newer parenteral anticoagulant, fondaparinux, is now also licensed for venous thromboembolism prophylaxis in surgical patients and the treatment of acute deep-vein thrombosis; clinical experience with this anticoagulant is expanding.	 fondaparinux  is now also licensed for venous thromboembolism prophylaxis in surgical patients and the treatment of acute deep-vein thrombosis	 may_prevent	yes
PDE5 inhibitor	 tumor	 Oral administration of PDE5 inhibitor, vardenafil, to mice with HER2-positive intracranial lung tumors led to an increased tumor permeability to high molecular weight [14C]dextran (2.6-fold increase) and to Herceptin (2-fold increase).	PDE5 inhibitor , vardenafil, to mice with HER2-positive intracranial lung tumors led to an increased  tumor	 	no_rel
cholesterol	 hypertension	 'Uncontrolled' was defined as hemoglobin A1c ≥ for diabetes, BP ≥ 140/90 mmHg (≥ 130/80 mmHg if diabetes present) for hypertension, and low density lipoprotein cholesterol (LDL-c) ≥ 130 mg/dl (≥ 100 mg/dl if diabetes present) for hyperlipidemia.	 hypertension nsion, and low density lipoprcholesterol	 	no_rel
osteoporosis	 vitamin D	 This study indicates that increased bone turnover, inflammation, and low vitamin D levels are important in the pathophysiology of AS-related osteoporosis.	 vitamin D levels are important in the pathophysiology of AS-related osteoporosis	 may_prevent	yes
diabetic foot ulcers	 oxygen	 The aim of this study was to evaluate the effect of hyperbaric oxygen therapy (HBOT) in the management of chronic diabetic foot ulcers.	 oxygen therapy (HBOT) in the management of chronic diabetic foot ulcers	 	no_rel
rheumatoid arthritis	 biologicals	 Currently available information from clinical trials and open-label extensions suggest that abatacept is a good alternative to other biologicals in rheumatoid arthritis.	 biologicals in rheumatoid arthritis	 	no_rel
NSAID	 rheumatism	 Alminoprofen is a non-steroid anti-inflammatory drug (NSAID) used as an analgesic for rheumatism.	NSAID ) used as an analgesic for  rheumatism	 	no_rel
